advertiserId;programmeName;primarySector;subSectors;conversionRate;approvalRate;epc;launchDate;paymentStatus;paymentRiskLevel;awinIndex;feedEnabled;productReporting;commissionMin;commissionMax;leadMin;leadMax;cookieLength;parentSectors;;;averagePaymentTime
23785;Babauba DE & AT;Childrenswear;Childrenswear|Baby & Toddler;9.39627;100.00;0.10;2021-07-08;green;none;91.7398;yes;no;0;0;0;0;30;Retail & Shopping;;;32
13404;America Today DE- Family Blend;Clothing;Clothing;;0.00;0.00;2019-05-06;amber;exposurelevel2;;yes;no;8;8;0;0;60;Retail & Shopping;;;null
14172;EMP DE;Clothing;Books & Subscriptions|Childrenswear|Clothing|Clothing Accessories|Electronic Accessories|Entertainment Superstore|Gadgets|Green (Eco friendly)|Home & Garden|Jewellery|Lingerie|Menswear|Music & DVD|Office Supplies|Shoes|Sportswear|Toys & Games|Wine Spirits & Tobacco|Womenswear|Baby & Toddler;1.85673;91.30;0.05;2019-08-22;amber;exposurelevel2;42.9474;yes;yes;4;7;0;0;30;Retail & Shopping;;;123
14787;Jan Vanderstorm - DE;Clothing;Clothing;3.80648;94.64;0.23;2019-07-31;amber;exposurelevel2;46.4184;yes;no;8;8;0;0;45;Retail & Shopping;;;90
13818;Krüger Dirndl DE;Clothing;Clothing;1.13392;48.99;0.10;2019-08-06;green;none;29.1895;yes;no;10;10;0;0;30;Retail & Shopping;;;72
14855;Mustang Store GmbH DE;Clothing;Clothing;3.99366;87.88;0.16;2019-07-17;amber;exposurelevel6;44.8882;yes;no;8;8;0;0;30;Retail & Shopping;;;83
15894;Robertogeissini DE;Clothing;Clothing;0.458223;79.73;0.06;2019-01-08;green;none;36.3426;yes;no;7.5;7.5;0;0;30;Retail & Shopping;;;76
15977;awg-mode.de - Alle Werden Glücklich;Clothing;Clothing|Sportswear|Womenswear;2.4874;100.00;0.05;2021-12-16;green;none;47.4924;yes;no;8;8;0;0;30;Retail & Shopping;;;90
18419;VfB Stuttgart DE;Clothing;Clothing|Clothing Accessories|Menswear|Sportswear|Womenswear;0.508781;95.96;0.01;2019-12-12;amber;exposurelevel2;49.692;yes;no;4;7;0;0;30;Retail & Shopping;;;104
18928;Benetton DE;Clothing;Childrenswear|Clothing|Clothing Accessories|Menswear|Shoes|Womenswear;;0.00;0.00;2020-04-16;amber;exposurelevel2;;yes;no;10;10;0;0;30;Retail & Shopping;;;null
11842;more-and-more.com DE;Clothing;Clothing|Menswear|Womenswear;7.31993;68.65;0.56;2018-10-23;amber;exposurelevel2;57.6025;yes;no;8;8;0;0;30;Retail & Shopping;;;87
11836;Alba Moda DE;Clothing;Childrenswear|Clothing|Menswear|Shoes|Womenswear;2.78929;67.88;0.16;2018-01-23;amber;exposurelevel4;33.3504;yes;no;5;5;0;0;30;Retail & Shopping;;;114
10961;JeansWelt.de;Clothing;Clothing;1.66986;57.60;0.13;2017-11-01;green;none;32.2681;yes;no;8;8;0;0;30;Retail & Shopping;;;86
10970;windsor DACH;Clothing;Clothing|Clothing Accessories|Lingerie|Menswear|Shoes|Womenswear;3.25551;58.94;0.95;2018-02-16;amber;exposurelevel2;42.5393;yes;no;0;7;0;0;30;Retail & Shopping;;;72
11428;OPUS Fashion DE;Clothing;Clothing;4.29873;64.41;0.39;2018-07-05;green;none;49.9883;yes;no;10;10;0;0;30;Retail & Shopping;;;60
9325;Scotch&Soda DE;Clothing;Childrenswear|Clothing|Clothing Accessories|Menswear|Shoes|Womenswear;0.89252;78.25;0.14;2018-06-19;amber;exposurelevel6;42.7881;yes;no;10;10;0;0;30;Retail & Shopping;;;90
10520;The Hut DE;Clothing;Clothing|Clothing Accessories|Menswear|Womenswear;3.23772;83.94;0.25;2017-10-18;green;none;59.0364;yes;yes;1;8;0;0;30;Retail & Shopping;;;60
10652;Guess DE;Clothing;Childrenswear|Clothing|Clothing Accessories|Menswear|Shoes|Womenswear;5.13893;92.39;0.53;2017-12-15;green;none;79.435;yes;no;7.5;7.5;0;0;60;Retail & Shopping;;;33
11614;YOUNG POETS SOCIETY DE;Clothing;Clothing|Clothing Accessories|Menswear|Womenswear;0.0893655;24.32;0.01;2018-01-30;green;none;33.0362;yes;no;7;7;0;0;60;Retail & Shopping;;;59
19196;Lampoo DE;Clothing;Clothing;1.81509;69.49;0.41;2020-03-31;amber;exposurelevel2;33.127;yes;no;5;15;0;0;30;Retail & Shopping;;;119
21636;Miinto DE;Clothing;Clothing;0.491431;19.45;0.15;2020-12-10;amber;exposurelevel2;20.5909;yes;no;0;0;0;0;30;Retail & Shopping;;;59
21856;Garcia DE;Clothing;Clothing|Clothing Accessories;5.93812;72.73;0.31;2021-02-08;green;none;42.0293;yes;no;0;0;0;0;30;Retail & Shopping;;;65
11888;koffer24 DE;Clothing;Clothing|Clothing Accessories;0.473183;66.07;0.03;2018-10-30;green;none;40.8746;yes;no;6;6;0;0;60;Retail & Shopping;;;81
11647;naturzeit.com DE;Clothing;Clothing|Clothing Accessories|Menswear|Shoes|Sports Equipment|Sportswear|Womenswear;3.25023;77.52;0.15;2018-10-23;amber;exposurelevel6;60.8144;yes;no;8;8;0;0;30;Retail & Shopping;;;75
